trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.1, 'e': 0.3358985177497425}",25,14,-65.60436016544686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.1, 'e': 0.3291805473947476}",20,0,-32.662327376258816,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.32259693644685267}",20,0,-54.12876283733001,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.1, 'e': 0.3161449977179156}",20,0,-77.96094374150687,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
58,False,"{'a': 0.1, 'e': 0.3098220977635573}",20,0,-25.35622161419977,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.30362565580828615}",20,1,20.285173468883173,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.2975531426921204}",20,0,-4.785478856024223,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.291602079838278}",20,12,4.182023223162692,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.2857700382415124}",25,15,6.346459432925534,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.2800546374766822}",20,1,-46.32298065350931,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.1, 'e': 0.2744535447271485}",20,0,1.2783098071067993,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.2689644738326056}",20,14,11.759355270931774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.26358518435595346}",20,8,8.834350930091285,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.25831348066883436}",30,0,-32.081035723706634,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
